idx,question,difficulty,type,method,gold_rank,hit@5,hit@10,hit@20,rr
13,"Si los policías consiguieron algo importante para inculparme pero lo obtuvieron violando mis derechos, ¿todavía lo pueden usar?",hard,colloquial_to_legal,híbrido,565,0,0,0,0.0018
14,¿Puede mi abogado pelearse legalmente con las pruebas que presenta el Ministerio Público?,hard,colloquial_to_legal,híbrido,176,0,0,0,0.0057
15,¿Puede la persona afectada y el acusado arreglarse entre ellos para terminar el problema?,hard,colloquial_to_legal,híbrido,116,0,0,0,0.0086
16,¿No basta con que una persona esté acusada para considerarla responsable penalmente?,hard,negative_question,híbrido,12,0,0,1,0.0833
17,¿No puede una persona ser sometida indefinidamente a nuevos procesos por el mismo acontecimiento?,hard,negative_question,híbrido,1,1,1,1,1.0
18,¿No toda información obtenida durante una investigación tiene automáticamente el valor de una prueba?,hard,negative_question,híbrido,150,0,0,0,0.0067
19,"Si la fiscalía tiene información obtenida durante la investigación pero el juez todavía no la ha escuchado en juicio, ¿qué categoría tiene?",hard,conceptual_distinction,híbrido,55,0,0,0,0.0182
20,¿En qué momento deja de ser solo información de investigación y adquiere formalmente valor de prueba?,hard,conceptual_distinction,híbrido,51,0,0,0,0.0196
21,¿Una declaración tomada por la policía ya es automáticamente prueba suficiente para condenar?,hard,conceptual_distinction,híbrido,66,0,0,0,0.0152
22,¿Por qué una entrevista tomada durante la investigación no puede simplemente copiarse en una sentencia?,hard,causal_reasoning,híbrido,540,0,0,0,0.0019
23,¿Todo objeto encontrado en una escena del crimen puede considerarse inmediatamente una prueba judicial?,hard,conceptual_distinction,híbrido,15,0,0,1,0.0667
24,¿Puede algo ser útil para orientar una investigación sin haber alcanzado todavía el nivel de prueba?,hard,conceptual_distinction,híbrido,344,0,0,0,0.0029
25,¿Qué diferencia existe entre encontrar algo sospechoso y poder utilizarlo formalmente para demostrar un hecho ante un juez?,hard,conceptual_distinction,híbrido,22,0,0,0,0.0455
26,¿Tener una enorme cantidad de elementos de investigación garantiza que exista evidencia suficiente?,hard,conceptual_reasoning,híbrido,3,1,1,1,0.3333
27,¿Qué importa más para determinar si los datos permiten sostener una hipótesis: cuántos hay o qué tan útiles son?,hard,conceptual_reasoning,híbrido,7,0,1,1,0.1429
28,¿Puede una evidencia estar relacionada con el caso y aun así ser insuficiente para demostrar quién fue responsable?,hard,conceptual_distinction,híbrido,10,0,1,1,0.1
29,"Si existe información que apunta hacia un posible responsable, pero todavía no ha sido sometida a contradicción ante el juez, ¿qué impide tratarla como prueba definitiva?",very_hard,multi_concept_reasoning,híbrido,6,0,1,1,0.1667
30,¿Qué distingue a un elemento que solo permite orientar una inferencia de uno que puede utilizarse formalmente para acreditar un hecho en una sentencia?,very_hard,precise_conceptual_retrieval,híbrido,160,0,0,0,0.0063
31,"Si un objeto fue correctamente localizado y asegurado, ¿eso significa por sí solo que conserva su valor y autenticidad durante todo el procedimiento?",very_hard,causal_reasoning,híbrido,49,0,0,0,0.0204
32,¿Qué procedimiento permite demostrar que un objeto presentado posteriormente ante la autoridad es el mismo que originalmente fue localizado durante la investigación?,very_hard,semantic_paraphrase,híbrido,1,1,1,1,1.0
33,"Si una evidencia pasa por varias personas y lugares antes de llegar al juicio, ¿qué sistema permite reconstruir y controlar ese recorrido?",very_hard,semantic_paraphrase,híbrido,1,1,1,1,1.0
0,¿Se puede tratar a un acusado como culpable antes de que un juez dicte sentencia?,easy,direct_principle,rewrite-solo,3,1,1,1,0.3333
1,¿Qué grado de certeza necesita el tribunal para poder condenar a una persona?,easy,direct_concept,rewrite-solo,1,1,1,1,1.0
2,¿Cómo se garantiza que la evidencia recogida en la escena no se altere ni se cambie?,medium,semantic_paraphrase,rewrite-solo,1,1,1,1,1.0
3,"Si la policía obtiene una prueba violando derechos, ¿esa prueba puede usarse en el juicio?",medium,semantic_paraphrase,rewrite-solo,8,0,1,1,0.125
4,¿Puede la víctima llegar a un arreglo con el acusado para resolver el asunto sin llegar a juicio?,medium,semantic_paraphrase,rewrite-solo,1,1,1,1,1.0
5,"Aunque una persona haya sido acusada, ¿la autoridad puede comportarse como si su culpabilidad ya estuviera demostrada?",medium,semantic_paraphrase,rewrite-solo,12,0,0,1,0.0833
6,"Si todavía existe una duda razonable sobre lo ocurrido, ¿qué impide que el tribunal declare culpable al acusado?",medium,semantic_paraphrase,rewrite-solo,2,1,1,1,0.5
7,¿Qué mecanismo evita que una persona sea juzgada nuevamente por exactamente los mismos hechos?,medium,semantic_paraphrase,rewrite-solo,4,1,1,1,0.25
8,¿Qué permite que la defensa cuestione la evidencia utilizada por la fiscalía?,medium,semantic_paraphrase,rewrite-solo,3,1,1,1,0.3333
9,¿Qué resolución judicial hace que una persona pase formalmente a enfrentar un proceso penal?,medium,legal_paraphrase,rewrite-solo,3,1,1,1,0.3333
10,¿Puede un juez imponer varias restricciones al imputado al mismo tiempo mientras continúa el procedimiento?,medium,semantic_paraphrase,rewrite-solo,4,1,1,1,0.25
11,"Si los policías agarran a alguien y no lo dejan ir, ¿qué límite legal existe para que eso no sea arbitrario?",hard,colloquial_to_legal,rewrite-solo,162,0,0,0,0.0062
12,¿Me pueden volver a acusar por algo de lo que ya salí absuelto?,hard,colloquial_to_legal,rewrite-solo,2,1,1,1,0.5
13,"Si los policías consiguieron algo importante para inculparme pero lo obtuvieron violando mis derechos, ¿todavía lo pueden usar?",hard,colloquial_to_legal,rewrite-solo,10,0,1,1,0.1
14,¿Puede mi abogado pelearse legalmente con las pruebas que presenta el Ministerio Público?,hard,colloquial_to_legal,rewrite-solo,88,0,0,0,0.0114
15,¿Puede la persona afectada y el acusado arreglarse entre ellos para terminar el problema?,hard,colloquial_to_legal,rewrite-solo,2,1,1,1,0.5
16,¿No basta con que una persona esté acusada para considerarla responsable penalmente?,hard,negative_question,rewrite-solo,33,0,0,0,0.0303
17,¿No puede una persona ser sometida indefinidamente a nuevos procesos por el mismo acontecimiento?,hard,negative_question,rewrite-solo,1,1,1,1,1.0
18,¿No toda información obtenida durante una investigación tiene automáticamente el valor de una prueba?,hard,negative_question,rewrite-solo,101,0,0,0,0.0099
19,"Si la fiscalía tiene información obtenida durante la investigación pero el juez todavía no la ha escuchado en juicio, ¿qué categoría tiene?",hard,conceptual_distinction,rewrite-solo,26,0,0,0,0.0385
20,¿En qué momento deja de ser solo información de investigación y adquiere formalmente valor de prueba?,hard,conceptual_distinction,rewrite-solo,25,0,0,0,0.04
21,¿Una declaración tomada por la policía ya es automáticamente prueba suficiente para condenar?,hard,conceptual_distinction,rewrite-solo,195,0,0,0,0.0051
22,¿Por qué una entrevista tomada durante la investigación no puede simplemente copiarse en una sentencia?,hard,causal_reasoning,rewrite-solo,282,0,0,0,0.0035
23,¿Todo objeto encontrado en una escena del crimen puede considerarse inmediatamente una prueba judicial?,hard,conceptual_distinction,rewrite-solo,18,0,0,1,0.0556
24,¿Puede algo ser útil para orientar una investigación sin haber alcanzado todavía el nivel de prueba?,hard,conceptual_distinction,rewrite-solo,11,0,0,1,0.0909
25,¿Qué diferencia existe entre encontrar algo sospechoso y poder utilizarlo formalmente para demostrar un hecho ante un juez?,hard,conceptual_distinction,rewrite-solo,20,0,0,1,0.05
26,¿Tener una enorme cantidad de elementos de investigación garantiza que exista evidencia suficiente?,hard,conceptual_reasoning,rewrite-solo,18,0,0,1,0.0556
27,¿Qué importa más para determinar si los datos permiten sostener una hipótesis: cuántos hay o qué tan útiles son?,hard,conceptual_reasoning,rewrite-solo,47,0,0,0,0.0213
28,¿Puede una evidencia estar relacionada con el caso y aun así ser insuficiente para demostrar quién fue responsable?,hard,conceptual_distinction,rewrite-solo,10,0,1,1,0.1
29,"Si existe información que apunta hacia un posible responsable, pero todavía no ha sido sometida a contradicción ante el juez, ¿qué impide tratarla como prueba definitiva?",very_hard,multi_concept_reasoning,rewrite-solo,110,0,0,0,0.0091
30,¿Qué distingue a un elemento que solo permite orientar una inferencia de uno que puede utilizarse formalmente para acreditar un hecho en una sentencia?,very_hard,precise_conceptual_retrieval,rewrite-solo,6,0,1,1,0.1667
31,"Si un objeto fue correctamente localizado y asegurado, ¿eso significa por sí solo que conserva su valor y autenticidad durante todo el procedimiento?",very_hard,causal_reasoning,rewrite-solo,77,0,0,0,0.013
32,¿Qué procedimiento permite demostrar que un objeto presentado posteriormente ante la autoridad es el mismo que originalmente fue localizado durante la investigación?,very_hard,semantic_paraphrase,rewrite-solo,1,1,1,1,1.0
33,"Si una evidencia pasa por varias personas y lugares antes de llegar al juicio, ¿qué sistema permite reconstruir y controlar ese recorrido?",very_hard,semantic_paraphrase,rewrite-solo,1,1,1,1,1.0
0,¿Se puede tratar a un acusado como culpable antes de que un juez dicte sentencia?,easy,direct_principle,multi-query,4,1,1,1,0.25
1,¿Qué grado de certeza necesita el tribunal para poder condenar a una persona?,easy,direct_concept,multi-query,1,1,1,1,1.0
2,¿Cómo se garantiza que la evidencia recogida en la escena no se altere ni se cambie?,medium,semantic_paraphrase,multi-query,8,0,1,1,0.125
3,"Si la policía obtiene una prueba violando derechos, ¿esa prueba puede usarse en el juicio?",medium,semantic_paraphrase,multi-query,48,0,0,0,0.0208
4,¿Puede la víctima llegar a un arreglo con el acusado para resolver el asunto sin llegar a juicio?,medium,semantic_paraphrase,multi-query,30,0,0,0,0.0333
5,"Aunque una persona haya sido acusada, ¿la autoridad puede comportarse como si su culpabilidad ya estuviera demostrada?",medium,semantic_paraphrase,multi-query,10,0,1,1,0.1
6,"Si todavía existe una duda razonable sobre lo ocurrido, ¿qué impide que el tribunal declare culpable al acusado?",medium,semantic_paraphrase,multi-query,2,1,1,1,0.5
7,¿Qué mecanismo evita que una persona sea juzgada nuevamente por exactamente los mismos hechos?,medium,semantic_paraphrase,multi-query,2,1,1,1,0.5
8,¿Qué permite que la defensa cuestione la evidencia utilizada por la fiscalía?,medium,semantic_paraphrase,multi-query,25,0,0,0,0.04
9,¿Qué resolución judicial hace que una persona pase formalmente a enfrentar un proceso penal?,medium,legal_paraphrase,multi-query,7,0,1,1,0.1429
10,¿Puede un juez imponer varias restricciones al imputado al mismo tiempo mientras continúa el procedimiento?,medium,semantic_paraphrase,multi-query,12,0,0,1,0.0833
11,"Si los policías agarran a alguien y no lo dejan ir, ¿qué límite legal existe para que eso no sea arbitrario?",hard,colloquial_to_legal,multi-query,118,0,0,0,0.0085
12,¿Me pueden volver a acusar por algo de lo que ya salí absuelto?,hard,colloquial_to_legal,multi-query,7,0,1,1,0.1429
13,"Si los policías consiguieron algo importante para inculparme pero lo obtuvieron violando mis derechos, ¿todavía lo pueden usar?",hard,colloquial_to_legal,multi-query,29,0,0,0,0.0345
14,¿Puede mi abogado pelearse legalmente con las pruebas que presenta el Ministerio Público?,hard,colloquial_to_legal,multi-query,68,0,0,0,0.0147
15,¿Puede la persona afectada y el acusado arreglarse entre ellos para terminar el problema?,hard,colloquial_to_legal,multi-query,7,0,1,1,0.1429
16,¿No basta con que una persona esté acusada para considerarla responsable penalmente?,hard,negative_question,multi-query,4,1,1,1,0.25
17,¿No puede una persona ser sometida indefinidamente a nuevos procesos por el mismo acontecimiento?,hard,negative_question,multi-query,2,1,1,1,0.5
18,¿No toda información obtenida durante una investigación tiene automáticamente el valor de una prueba?,hard,negative_question,multi-query,76,0,0,0,0.0132
19,"Si la fiscalía tiene información obtenida durante la investigación pero el juez todavía no la ha escuchado en juicio, ¿qué categoría tiene?",hard,conceptual_distinction,multi-query,16,0,0,1,0.0625
20,¿En qué momento deja de ser solo información de investigación y adquiere formalmente valor de prueba?,hard,conceptual_distinction,multi-query,21,0,0,0,0.0476
21,¿Una declaración tomada por la policía ya es automáticamente prueba suficiente para condenar?,hard,conceptual_distinction,multi-query,103,0,0,0,0.0097
22,¿Por qué una entrevista tomada durante la investigación no puede simplemente copiarse en una sentencia?,hard,causal_reasoning,multi-query,383,0,0,0,0.0026
23,¿Todo objeto encontrado en una escena del crimen puede considerarse inmediatamente una prueba judicial?,hard,conceptual_distinction,multi-query,12,0,0,1,0.0833
24,¿Puede algo ser útil para orientar una investigación sin haber alcanzado todavía el nivel de prueba?,hard,conceptual_distinction,multi-query,26,0,0,0,0.0385
25,¿Qué diferencia existe entre encontrar algo sospechoso y poder utilizarlo formalmente para demostrar un hecho ante un juez?,hard,conceptual_distinction,multi-query,5,1,1,1,0.2
26,¿Tener una enorme cantidad de elementos de investigación garantiza que exista evidencia suficiente?,hard,conceptual_reasoning,multi-query,16,0,0,1,0.0625
27,¿Qué importa más para determinar si los datos permiten sostener una hipótesis: cuántos hay o qué tan útiles son?,hard,conceptual_reasoning,multi-query,15,0,0,1,0.0667
28,¿Puede una evidencia estar relacionada con el caso y aun así ser insuficiente para demostrar quién fue responsable?,hard,conceptual_distinction,multi-query,8,0,1,1,0.125
29,"Si existe información que apunta hacia un posible responsable, pero todavía no ha sido sometida a contradicción ante el juez, ¿qué impide tratarla como prueba definitiva?",very_hard,multi_concept_reasoning,multi-query,47,0,0,0,0.0213
30,¿Qué distingue a un elemento que solo permite orientar una inferencia de uno que puede utilizarse formalmente para acreditar un hecho en una sentencia?,very_hard,precise_conceptual_retrieval,multi-query,50,0,0,0,0.02
31,"Si un objeto fue correctamente localizado y asegurado, ¿eso significa por sí solo que conserva su valor y autenticidad durante todo el procedimiento?",very_hard,causal_reasoning,multi-query,70,0,0,0,0.0143
32,¿Qué procedimiento permite demostrar que un objeto presentado posteriormente ante la autoridad es el mismo que originalmente fue localizado durante la investigación?,very_hard,semantic_paraphrase,multi-query,1,1,1,1,1.0
33,"Si una evidencia pasa por varias personas y lugares antes de llegar al juicio, ¿qué sistema permite reconstruir y controlar ese recorrido?",very_hard,semantic_paraphrase,multi-query,1,1,1,1,1.0
